CustomerID,Recency,Frequency,Monetary,Churn_Probability
12346.0,325,1,77183.6,0.63
12347.0,1,7,4310.0,0.03
12348.0,74,4,1797.24,0.08
12349.0,18,1,1757.55,0.72
12350.0,309,1,334.4,0.57
12352.0,35,8,2506.04,0.09
12353.0,203,1,89.0,0.88
12354.0,231,1,1079.4,0.83
12355.0,213,1,459.4,0.93
12356.0,22,3,2811.43,0.17
12357.0,32,1,6207.67,0.52
12358.0,1,2,1168.06,0.55
12359.0,57,4,6372.58,0.22
12360.0,51,3,2662.06,0.49
12361.0,286,1,189.9,0.22
12362.0,2,10,5226.23,0.0
12363.0,109,2,552.0,0.24
12364.0,7,4,1313.1,0.13
12365.0,290,2,641.38,0.54
12367.0,3,1,168.9,0.17
12370.0,50,4,3545.69,0.38
12371.0,44,2,1887.96,0.13
12372.0,71,3,1298.04,0.26
12373.0,310,1,364.6,0.66
12374.0,24,1,742.93,0.8
12375.0,10,2,457.5,0.67
12377.0,314,2,1628.12,0.53
12378.0,129,1,4008.62,0.45
12379.0,81,2,852.24,0.59
12380.0,21,4,2724.81,0.13
12381.0,4,5,1845.31,0.06
12383.0,184,5,1850.56,0.35
12384.0,28,2,585.27,0.63
12386.0,337,2,401.9,0.51
12388.0,15,6,2780.66,0.15
12390.0,79,1,549.84,0.26
12391.0,21,1,460.89,0.53
12393.0,71,4,1582.6,0.24
12394.0,63,2,1272.48,0.29
12395.0,18,12,3018.63,0.0
12397.0,35,2,2409.9,0.1
12398.0,45,1,1635.66,0.74
12399.0,118,4,1108.65,0.15
12401.0,302,1,84.3,0.93
12402.0,322,1,225.6,0.27
12403.0,49,1,427.7,0.64
12405.0,148,1,1710.39,0.54
12406.0,21,2,3415.3,0.14
12407.0,49,5,1708.12,0.1
12408.0,32,5,2888.55,0.12
12409.0,78,3,11072.67,0.15
12410.0,308,2,693.33,0.46
12412.0,74,3,1226.88,0.05
12413.0,66,3,758.1,0.69
12414.0,216,3,562.41,0.29
12415.0,23,21,124914.53,0.02
12417.0,2,9,3649.1,0.05
12418.0,112,1,668.58,0.6
12420.0,63,1,600.39,0.35
12421.0,15,4,807.04,0.13
12422.0,95,3,803.56,0.45
12423.0,0,8,1859.31,0.12
12424.0,162,2,1760.96,0.15
12425.0,77,1,777.2,0.45
12426.0,194,1,582.73,0.48
12427.0,21,3,825.8,0.31
12428.0,25,9,7956.46,0.0
12429.0,8,4,3750.4,0.07
12430.0,42,1,256.4,0.89
12431.0,35,15,6487.45,0.06
12432.0,42,5,5059.32,0.0
12433.0,0,7,13375.87,0.16
12434.0,84,2,806.14,0.25
12435.0,79,2,7829.89,0.27
12436.0,99,1,509.01,0.64
12437.0,1,18,4951.41,0.0
12438.0,13,2,2906.85,0.26
12441.0,366,1,173.55,0.35
12442.0,2,1,172.06,0.28
12444.0,20,5,5005.46,0.0
12445.0,21,1,133.4,0.44
12446.0,57,1,1002.31,0.65
12447.0,242,1,476.49,0.88
12448.0,43,1,449.45,0.82
12449.0,21,4,4067.29,0.05
12450.0,155,2,197.88,0.73
12451.0,10,5,9035.52,0.2
12452.0,16,2,430.57,0.6
12453.0,133,1,707.09,0.48
12454.0,55,1,3528.34,0.56
12455.0,72,6,2466.86,0.06
12456.0,43,3,3181.04,0.55
12457.0,65,7,2363.23,0.05
12458.0,70,2,947.4,0.35
12461.0,93,2,826.88,0.46
12462.0,18,2,1189.59,0.14
12463.0,52,4,1344.78,0.11
12464.0,9,8,1212.05,0.06
12465.0,16,2,742.19,0.38
12468.0,187,2,729.54,0.42
12471.0,1,30,19824.05,0.0
12472.0,31,7,6572.11,0.02
12473.0,28,5,3938.55,0.03
12474.0,16,18,7375.79,0.0
12475.0,53,1,723.38,0.63
12476.0,15,11,6816.42,0.02
12477.0,22,6,13219.74,0.38
12478.0,3,1,680.99,0.39
12479.0,10,1,527.2,0.49
12480.0,27,4,3281.63,0.21
12481.0,22,10,5596.32,0.0
12483.0,16,8,2484.98,0.01
12484.0,32,6,4541.72,0.2
12488.0,9,3,1298.66,0.85
12489.0,335,1,334.93,0.57
12490.0,4,10,5417.93,0.0
12491.0,38,1,460.4,0.33
12492.0,62,2,263.21,0.27
12493.0,165,2,433.74,0.97
12494.0,15,7,1246.1,0.01
12497.0,81,1,1043.1,0.75
12498.0,20,3,403.7,0.81
12500.0,22,11,4257.82,0.0
12501.0,336,1,2169.39,0.65
12502.0,95,5,3723.87,0.31
12504.0,17,2,482.05,0.31
12506.0,232,1,73.5,0.94
12507.0,133,3,1304.81,0.41
12508.0,25,2,398.27,0.24
12509.0,283,1,176.5,0.3
12510.0,142,2,982.57,0.54
12512.0,65,2,138.03,0.96
12513.0,112,1,612.29,0.73
12514.0,266,1,1017.68,0.6
12515.0,352,1,383.7,0.44
12516.0,77,2,1312.06,0.62
12517.0,27,5,2502.84,0.0
12518.0,0,5,2056.89,0.0
12519.0,63,1,340.84,0.76
12520.0,78,5,2634.26,0.18
12521.0,142,1,599.68,0.78
12522.0,38,2,192.72,0.84
12523.0,18,11,1789.77,0.02
12524.0,8,8,4485.72,0.05
12526.0,0,3,1316.66,0.55
12527.0,81,3,348.71,0.51
12528.0,8,6,1933.48,0.17
12530.0,59,4,1662.28,0.13
12531.0,14,1,125.22,0.05
12532.0,29,1,349.83,0.15
12534.0,130,1,1089.18,0.76
12535.0,91,2,716.35,0.38
12536.0,42,3,12601.83,0.43
12538.0,28,1,363.95,0.35
12539.0,21,4,5568.35,0.05
12540.0,19,17,13400.24,0.0
12541.0,29,3,981.18,0.44
12544.0,35,1,372.7,0.32
